Date,Price,Open,High,Low,Vol.,Change %
31-Aug-18,7025.90,"6,986.10","7,084.00","6,889.00",19.38K,0.45%
1-Sep-18,7197.50,"7,022.90","7,260.40","7,020.50",21.39K,2.44%
2-Sep-18,7290.40,"7,197.50","7,367.00","7,137.20",44.68K,1.29%
3-Sep-18,7268.00,"7,304.70","7,341.40","7,200.10",22.31K,-0.31%
4-Sep-18,7358.90,"7,267.80","7,410.30","7,246.20",20.82K,1.25%
5-Sep-18,6710.50,"7,357.30","7,400.00","6,700.00",55.65K,-8.81%
6-Sep-18,6515.60,"6,705.00","6,720.80","6,310.30",53.00K,-2.90%
7-Sep-18,6404.10,"6,516.10","6,532.90","6,322.80",20.74K,-1.71%
8-Sep-18,6185.00,"6,404.20","6,475.10","6,130.30",21.85K,-3.42%
9-Sep-18,6239.90,"6,184.90","6,427.60","6,142.20",16.46K,0.89%
10-Sep-18,6308.00,"6,240.00","6,363.50","6,233.20",14.45K,1.09%
11-Sep-18,6290.80,"6,332.10","6,397.10","6,178.10",16.61K,-0.27%
12-Sep-18,6332.00,"6,290.90","6,355.00","6,203.10",16.08K,0.65%
13-Sep-18,6475.60,"6,334.00","6,523.40","6,334.00",19.24K,2.27%
14-Sep-18,6485.00,"6,495.00","6,593.00","6,355.60",16.37K,0.15%
15-Sep-18,6513.60,"6,480.10","6,568.90","6,473.60",8.35K,0.44%
16-Sep-18,6498.50,"6,512.80","6,517.80","6,384.50",8.73K,-0.23%
17-Sep-18,6254.20,"6,506.10","6,532.80","6,205.10",23.54K,-3.76%
18-Sep-18,6342.80,"6,243.00","6,384.00","6,229.20",15.93K,1.42%
19-Sep-18,6390.90,"6,330.80","6,521.50","6,112.70",29.90K,0.76%
20-Sep-18,6500.50,"6,392.80","6,535.00","6,357.20",16.67K,1.71%
21-Sep-18,6762.70,"6,522.10","6,790.00","6,496.00",36.99K,4.03%
22-Sep-18,6723.00,"6,789.80","6,840.00","6,643.60",18.26K,-0.59%
23-Sep-18,6710.00,"6,723.10","6,783.30","6,664.20",8.51K,-0.19%
24-Sep-18,6585.00,"6,697.80","6,721.70","6,555.10",17.76K,-1.86%
25-Sep-18,6434.70,"6,585.10","6,585.10","6,350.20",20.21K,-2.28%
26-Sep-18,6462.40,"6,442.80","6,552.70","6,385.80",13.81K,0.43%
27-Sep-18,6692.50,"6,462.40","6,727.20","6,440.70",18.37K,3.56%
28-Sep-18,6635.10,"6,691.20","6,825.00","6,545.10",27.89K,-0.86%
29-Sep-18,6604.60,"6,627.30","6,631.20","6,466.00",17.30K,-0.46%
30-Sep-18,6618.10,"6,590.00","6,656.50","6,533.30",8.49K,0.20%
