Date,Price,Open,High,Low,Vol.,Change %
14-Aug-17,0.1683,0.1657,0.1801,0.1652,37.65M,1.57%
15-Aug-17,0.1577,0.1683,0.1683,0.153,65.52M,-6.30%
16-Aug-17,0.1603,0.1577,0.1606,0.1489,53.98M,1.65%
17-Aug-17,0.1578,0.1603,0.161,0.154,39.55M,-1.56%
18-Aug-17,0.1569,0.1578,0.1704,0.1518,66.86M,-0.57%
19-Aug-17,0.1526,0.1569,0.1616,0.1483,46.14M,-2.74%
20-Aug-17,0.1587,0.1526,0.1611,0.1494,33.04M,4.00%
21-Aug-17,0.1958,0.1587,0.2081,0.1523,151.82M,23.38%
22-Aug-17,0.2421,0.1958,0.2598,0.1715,293.31M,23.65%
23-Aug-17,0.2457,0.2421,0.2977,0.2169,339.56M,1.49%
24-Aug-17,0.2173,0.2457,0.2862,0.2124,244.13M,-11.56%
25-Aug-17,0.2167,0.2173,0.2309,0.2029,123.30M,-0.28%
26-Aug-17,0.2097,0.2167,0.2308,0.2069,58.37M,-3.23%
27-Aug-17,0.2017,0.2097,0.2104,0.193,68.63M,-3.81%
28-Aug-17,0.2252,0.2017,0.242,0.1947,181.04M,11.65%
29-Aug-17,0.2199,0.2252,0.2262,0.2125,79.96M,-2.35%
30-Aug-17,0.2319,0.2199,0.2332,0.2175,58.58M,5.46%
31-Aug-17,0.2593,0.2319,0.2648,0.2275,102.18M,11.82%
1-Sep-17,0.2529,0.2593,0.2604,0.2444,92.33M,-2.47%
2-Sep-17,0.2252,0.2529,0.2538,0.2185,114.85M,-10.95%
3-Sep-17,0.2303,0.2252,0.2381,0.2168,71.53M,2.26%
4-Sep-17,0.2045,0.2303,0.2306,0.1901,110.27M,-11.20%
5-Sep-17,0.2168,0.2045,0.2204,0.1917,74.19M,6.01%
6-Sep-17,0.2314,0.2168,0.2329,0.2162,62.41M,6.73%
7-Sep-17,0.2271,0.2314,0.2318,0.2216,42.48M,-1.86%
8-Sep-17,0.2122,0.2271,0.2295,0.2026,80.23M,-6.56%
9-Sep-17,0.213,0.2122,0.2145,0.2075,26.34M,0.38%
10-Sep-17,0.2173,0.213,0.2243,0.1993,54.94M,2.02%
11-Sep-17,0.2143,0.2173,0.2216,0.2087,42.71M,-1.38%
